Date,Hour,Time of Day,Channel,Service Type,Ad Spend,Conversions,Revenue,Customer Type
2024-08-03,12,Afternoon,Social Media,Deluxe,26.04,0,0,New
2025-04-08,13,Afternoon,Online,Deluxe,75.94,2,239.3,New
2024-10-16,13,Afternoon,Phone,Deluxe,61.22,5,728.78,Returning
2024-10-26,17,Evening,Online,Basic,71.96,6,830.46,New
2025-02-16,10,Morning,Social Media,Deluxe,30.12,3,186.91,Returning
2025-04-30,16,Afternoon,Phone,Premium,11.73,3,59.16,Returning
2025-03-18,19,Evening,Walk-in,Premium,74.8,6,1021.93,New
2024-05-22,18,Evening,Walk-in,Basic,77.55,5,369.96,Returning
2024-09-18,9,Morning,Walk-in,Premium,64.41,6,395.77,Returning
2024-09-07,13,Afternoon,Social Media,Deluxe,48.13,1,72.35,Returning
2024-05-24,8,Morning,Social Media,Deluxe,32.37,3,129.52,Returning
2024-06-29,9,Morning,Online,Premium,41.27,5,316.2,New
2024-09-15,21,Night,Online,Deluxe,61.08,1,85.92,New
2024-06-07,18,Evening,Walk-in,Basic,29.61,5,230.27,New
2024-06-27,21,Night,Online,Deluxe,30.87,3,210.08,New
2024-06-29,18,Evening,Online,Basic,37.39,2,73.27,Returning
2024-06-26,11,Morning,Phone,Premium,7.04,4,58.51,New
2024-05-18,9,Morning,Walk-in,Premium,89.51,6,1251.96,New
2025-02-17,12,Afternoon,Online,Deluxe,50.85,3,149.99,Returning
2025-02-14,17,Evening,Social Media,Basic,90.13,3,370.42,Returning
2024-07-13,11,Morning,Phone,Basic,54.19,5,650.09,Returning
2024-10-10,10,Morning,Social Media,Basic,53.53,1,44.25,Returning
2024-08-18,15,Afternoon,Phone,Deluxe,18.5,1,41.04,Returning
2024-08-29,16,Afternoon,Online,Premium,67.78,2,195.2,Returning
2024-10-28,20,Evening,Social Media,Premium,35.79,1,33.58,New
2024-06-10,21,Night,Walk-in,Basic,45.05,3,192.58,New
2024-05-17,8,Morning,Walk-in,Basic,11.89,7,168.25,New
2024-10-28,11,Morning,Phone,Premium,58.1,0,0,Returning
2024-11-21,15,Afternoon,Online,Deluxe,64.03,1,66.23,Returning
2024-09-09,13,Afternoon,Online,Premium,89.38,3,509.56,Returning
2024-11-26,16,Afternoon,Phone,Basic,39.29,3,232.86,New
2025-01-03,19,Evening,Phone,Basic,66.59,3,345.56,New
2024-08-17,19,Evening,Walk-in,Deluxe,67.16,5,440.5,Returning
2024-12-09,19,Evening,Walk-in,Basic,9.67,2,39.62,Returning
2024-07-02,20,Evening,Online,Deluxe,40.78,1,68.38,Returning
2024-12-07,19,Evening,Social Media,Deluxe,27.43,4,171.3,New
2024-11-09,12,Afternoon,Walk-in,Premium,66.31,3,283.06,Returning
2024-10-24,16,Afternoon,Walk-in,Basic,46.81,3,317.9,New
2024-11-11,12,Afternoon,Social Media,Deluxe,78.34,3,336.9,Returning
2024-08-17,19,Evening,Social Media,Basic,99.18,5,824.23,New
2024-11-06,16,Afternoon,Online,Deluxe,62.38,1,112.59,Returning
2025-01-07,9,Morning,Walk-in,Basic,87.25,0,0,New
2025-03-23,15,Afternoon,Walk-in,Deluxe,25.27,2,45.51,New
2024-06-30,12,Afternoon,Walk-in,Premium,30.34,2,104.72,New
2024-05-14,19,Evening,Social Media,Basic,79.01,0,0,New
2024-05-09,11,Morning,Phone,Premium,65.69,6,669.03,Returning
2025-03-31,13,Afternoon,Online,Premium,93.29,5,801.06,New
2024-07-12,18,Evening,Walk-in,Basic,23.65,3,143.53,Returning
2024-12-03,16,Afternoon,Phone,Premium,93.68,3,359.49,Returning
2025-01-13,10,Morning,Online,Basic,22.41,4,95.47,New
2024-11-24,14,Afternoon,Walk-in,Deluxe,55.6,2,188.52,New
2024-08-28,10,Morning,Walk-in,Premium,21.86,2,60.16,Returning
2024-12-11,11,Morning,Walk-in,Premium,64.9,3,171.47,Returning
2024-05-20,14,Afternoon,Social Media,Basic,95.43,7,787.76,Returning
2024-05-04,14,Afternoon,Walk-in,Premium,58.45,3,325.07,New
2025-03-17,17,Evening,Online,Deluxe,77.16,2,227.2,Returning
2025-01-09,9,Morning,Walk-in,Basic,42.77,1,90.78,Returning
2024-11-23,8,Morning,Online,Deluxe,44.16,4,253.68,New
2025-01-29,10,Morning,Online,Premium,68.94,3,419.98,New
2024-10-30,12,Afternoon,Online,Deluxe,42.42,3,316.67,New
2024-06-25,14,Afternoon,Social Media,Basic,64.56,4,641.46,New
2024-12-21,18,Evening,Walk-in,Premium,39.05,2,141.23,Returning
2024-07-12,19,Evening,Walk-in,Basic,31.26,4,101.96,Returning
2024-12-07,15,Afternoon,Online,Deluxe,89.62,3,454.5,New
2025-04-03,18,Evening,Social Media,Deluxe,54.64,4,275.74,Returning
2024-11-29,18,Evening,Phone,Deluxe,99.11,4,383.78,New
2024-09-22,14,Afternoon,Phone,Basic,38.75,3,112.12,Returning
2025-01-16,10,Morning,Online,Basic,44.91,3,226.33,New
2024-11-18,10,Morning,Online,Premium,11.11,4,80.99,New
2025-01-24,10,Morning,Walk-in,Deluxe,47.13,3,306.53,Returning
2024-11-04,12,Afternoon,Online,Premium,94.45,4,761.6,New
2024-09-19,20,Evening,Online,Premium,29.85,2,71.98,New
2025-03-18,21,Night,Walk-in,Deluxe,30.5,3,88.17,New
2024-10-26,13,Afternoon,Online,Premium,18.19,3,52.99,New
2025-04-05,12,Afternoon,Online,Basic,58.36,3,160.68,Returning
2024-09-27,15,Afternoon,Phone,Deluxe,9.51,2,35.21,Returning
2024-12-25,9,Morning,Online,Basic,5.75,5,60.81,Returning
2025-04-10,10,Morning,Online,Premium,94.37,6,787.22,New
2025-04-20,14,Afternoon,Phone,Basic,96.27,5,546.16,New
2024-07-16,20,Evening,Walk-in,Premium,42.92,5,347.06,Returning
2025-03-06,12,Afternoon,Phone,Deluxe,56.54,2,91.85,Returning
2024-11-21,18,Evening,Online,Basic,65.42,3,440.45,Returning
2025-04-16,21,Night,Online,Premium,57.75,1,126.46,Returning
2024-08-15,20,Evening,Online,Basic,88.73,2,226.33,New
2024-12-24,12,Afternoon,Online,Premium,42.72,1,67.24,Returning
2024-11-19,8,Morning,Online,Basic,51.38,4,177.36,New
2024-10-22,15,Afternoon,Online,Premium,63.67,3,320.35,New
2024-06-29,21,Night,Walk-in,Deluxe,20.36,4,180.57,Returning
2024-11-02,14,Afternoon,Walk-in,Basic,58.53,4,438.3,Returning
2024-09-02,10,Morning,Online,Basic,59.88,5,697.94,New
2024-12-19,13,Afternoon,Walk-in,Basic,70.25,1,109.22,Returning
2024-11-23,9,Morning,Phone,Basic,39.33,1,32.13,New
2025-02-13,17,Evening,Walk-in,Basic,55.38,5,581.85,New
2024-06-04,15,Afternoon,Online,Deluxe,81.6,4,543.21,New
2025-03-21,10,Morning,Walk-in,Basic,8.65,4,48.86,New
2024-12-29,16,Afternoon,Walk-in,Deluxe,54.39,1,80.26,New
2024-12-22,14,Afternoon,Online,Basic,87.24,4,553,New
2024-10-29,14,Afternoon,Phone,Deluxe,9.82,0,0,Returning
2025-03-02,19,Evening,Walk-in,Deluxe,46.4,4,453.56,Returning
2024-05-21,17,Evening,Social Media,Premium,92.66,3,396.8,New
2024-06-30,17,Evening,Online,Deluxe,89.28,4,589.68,New
2025-01-13,17,Evening,Walk-in,Basic,24.77,4,201.51,New
2025-04-27,10,Morning,Online,Premium,73.6,2,285.94,New
2024-11-20,11,Morning,Online,Basic,36.46,3,262.13,New
2024-08-12,8,Morning,Walk-in,Premium,89.98,3,357.47,New
2025-01-13,17,Evening,Online,Basic,79.26,6,509.94,New
2024-07-06,14,Afternoon,Social Media,Basic,42.05,3,292.37,New
2025-04-14,21,Night,Online,Premium,31.61,2,80.62,New
2024-05-25,18,Evening,Online,Deluxe,64.78,4,272.28,New
2024-07-26,15,Afternoon,Walk-in,Premium,17.83,4,154.33,New
2025-04-10,16,Afternoon,Online,Premium,79.1,3,449.9,Returning
2024-10-02,13,Afternoon,Online,Basic,23.07,3,108.5,Returning
2024-08-04,15,Afternoon,Online,Basic,76.24,1,190.56,Returning
2024-11-04,11,Morning,Phone,Deluxe,18.51,2,71.67,Returning
2024-08-31,19,Evening,Walk-in,Premium,30.5,3,171.2,Returning
2024-12-29,16,Afternoon,Phone,Deluxe,25.13,0,0,Returning
2024-11-12,16,Afternoon,Phone,Basic,88.82,2,441.72,New
2024-10-27,12,Afternoon,Phone,Premium,65.56,2,107,New
2024-05-19,14,Afternoon,Walk-in,Basic,41.29,2,195.01,Returning
2024-10-10,10,Morning,Phone,Premium,25.37,2,119.66,Returning
2024-07-25,11,Morning,Walk-in,Basic,95.81,3,612.34,Returning
2024-08-29,8,Morning,Phone,Deluxe,68.81,3,272.9,New
2025-03-21,14,Afternoon,Online,Basic,13.09,2,62.09,New
2024-11-17,11,Morning,Online,Basic,8.39,5,57.91,Returning
2024-07-25,11,Morning,Online,Deluxe,17.04,3,122.46,New
2024-10-23,11,Morning,Phone,Basic,94.56,1,113.93,New
2024-08-26,12,Afternoon,Online,Deluxe,24.16,4,127.65,New
2025-04-22,20,Evening,Walk-in,Basic,50.08,2,226.28,Returning
2025-02-19,12,Afternoon,Phone,Deluxe,63.27,3,388.6,New
2025-04-03,9,Morning,Online,Premium,64.89,6,528.78,New
2025-03-29,14,Afternoon,Walk-in,Basic,23.78,2,93.4,Returning
2025-01-22,18,Evening,Walk-in,Basic,75.32,2,161.3,New
2024-09-05,20,Evening,Online,Basic,42.34,4,305.71,Returning
2025-02-08,15,Afternoon,Online,Premium,90.81,4,381.3,Returning
2025-04-17,16,Afternoon,Walk-in,Deluxe,79.26,4,566.98,New
2024-10-07,14,Afternoon,Walk-in,Premium,58.65,1,61.77,New
2024-05-24,14,Afternoon,Phone,Premium,69.63,2,337.88,Returning
2024-05-02,9,Morning,Phone,Basic,46.28,2,155.84,New
2025-03-15,9,Morning,Online,Basic,20.86,7,165.9,New
2025-04-17,10,Morning,Online,Deluxe,21.23,4,147.29,Returning
2025-04-02,17,Evening,Walk-in,Deluxe,43.86,6,314.74,Returning
2024-08-12,14,Afternoon,Social Media,Basic,96.81,2,259.57,Returning
2025-04-24,13,Afternoon,Phone,Deluxe,89.39,5,780.95,Returning
2024-08-01,16,Afternoon,Phone,Deluxe,8.72,3,22.1,New
2024-06-17,12,Afternoon,Online,Premium,90.28,1,79.98,New
2024-10-30,14,Afternoon,Social Media,Deluxe,78.26,6,821.13,Returning
2024-12-21,14,Afternoon,Online,Deluxe,15.64,3,88,New
2024-10-25,13,Afternoon,Online,Deluxe,30.06,4,295.73,Returning
2024-08-27,12,Afternoon,Walk-in,Deluxe,11.25,1,14.53,New
2024-07-31,9,Morning,Walk-in,Deluxe,62.13,2,236.4,Returning
2024-10-03,15,Afternoon,Online,Basic,51.79,6,741.37,New
2025-04-24,15,Afternoon,Social Media,Basic,16.68,0,0,New
2025-02-04,12,Afternoon,Phone,Deluxe,20.89,5,106.55,New
2025-02-27,9,Morning,Online,Premium,70.64,4,366.48,Returning
2024-08-26,19,Evening,Social Media,Deluxe,33.2,9,683.79,New
2025-03-16,20,Evening,Social Media,Premium,65.76,4,493.73,Returning
2024-05-05,14,Afternoon,Online,Premium,51.64,2,229.57,New
2024-10-25,9,Morning,Online,Basic,14.84,2,44.14,New
2025-01-13,19,Evening,Phone,Basic,77.57,2,363.01,Returning
2024-05-26,16,Afternoon,Online,Premium,79.84,2,213.56,New
2024-12-01,9,Morning,Phone,Basic,66.3,4,295.67,Returning
2024-07-28,16,Afternoon,Walk-in,Premium,28.43,1,49.06,New
2024-09-01,13,Afternoon,Online,Deluxe,29.63,2,55.62,Returning
2024-11-29,12,Afternoon,Walk-in,Deluxe,54.93,8,605.83,Returning
2024-08-28,8,Morning,Online,Basic,41.41,6,485.45,New
2025-04-30,9,Morning,Online,Premium,23.35,2,70.88,Returning
2024-12-14,16,Afternoon,Online,Deluxe,84.94,7,1479.88,New
2024-08-02,12,Afternoon,Online,Premium,59.01,3,322.86,Returning
2024-07-25,11,Morning,Online,Deluxe,15.2,2,66.03,Returning
2025-03-29,15,Afternoon,Phone,Deluxe,74.4,3,512.36,Returning
2024-11-05,18,Evening,Social Media,Deluxe,63.76,5,638.65,Returning
2024-05-27,14,Afternoon,Online,Deluxe,91.62,2,165.18,New
2024-09-15,8,Morning,Phone,Basic,54.19,2,133.35,Returning
2024-09-23,18,Evening,Online,Deluxe,50.28,2,103.66,New
2025-04-28,19,Evening,Walk-in,Premium,8.26,4,57.56,Returning
2024-07-28,15,Afternoon,Online,Basic,96.01,2,297.73,New
2025-02-17,13,Afternoon,Phone,Premium,67.23,3,402.36,Returning
2024-12-16,17,Evening,Online,Premium,12.31,3,85.05,New
2024-07-02,18,Evening,Phone,Deluxe,7.33,2,21.77,Returning
2024-12-26,13,Afternoon,Online,Premium,15.19,1,37.53,New
2025-01-16,11,Morning,Phone,Premium,91.05,1,167.52,New
2024-11-16,12,Afternoon,Online,Deluxe,79.35,2,236.86,Returning
2024-10-16,9,Morning,Phone,Basic,34.54,2,89.67,New
2024-11-23,12,Afternoon,Online,Premium,34.73,4,171.43,New
2024-08-15,17,Evening,Phone,Premium,7.25,1,9.29,Returning
2025-02-12,14,Afternoon,Walk-in,Premium,74.12,3,263.75,New
2024-10-02,10,Morning,Phone,Deluxe,28.89,4,182.25,New
2025-03-04,18,Evening,Phone,Basic,25.7,0,0,New
2025-02-26,18,Evening,Phone,Basic,21.27,3,82.08,Returning
2024-11-24,16,Afternoon,Social Media,Basic,22.23,4,112.75,New
2024-09-13,10,Morning,Online,Deluxe,69.99,4,533.03,Returning
2024-10-24,19,Evening,Social Media,Deluxe,30.34,1,56.48,Returning
2024-08-20,19,Evening,Online,Basic,47.74,1,66.11,Returning
2024-06-07,20,Evening,Online,Deluxe,57.5,2,103.07,Returning
2024-06-09,16,Afternoon,Online,Basic,45.17,2,163.98,Returning
2025-02-18,21,Night,Social Media,Premium,72.18,7,1118.78,Returning
2025-04-10,14,Afternoon,Online,Basic,23.89,2,110.62,New
2024-09-07,10,Morning,Online,Basic,88.77,3,254.34,New
2025-04-17,15,Afternoon,Online,Basic,61.88,2,215.17,New
2024-09-17,12,Afternoon,Online,Basic,32.4,4,269.87,Returning
2024-05-09,9,Morning,Walk-in,Premium,13.57,4,82.28,Returning
2025-02-07,15,Afternoon,Walk-in,Deluxe,76.14,4,244.16,Returning
2024-08-21,21,Night,Walk-in,Basic,6.52,4,57.5,Returning
2024-06-16,13,Afternoon,Walk-in,Premium,75.88,1,107.24,Returning
2024-08-13,21,Night,Online,Basic,91.58,2,447.46,New
2024-06-20,15,Afternoon,Phone,Deluxe,72.05,2,310.39,Returning
2024-07-05,14,Afternoon,Online,Premium,37.55,0,0,Returning
2024-12-16,18,Evening,Online,Deluxe,36.36,5,225.03,New
2024-09-25,13,Afternoon,Phone,Deluxe,57.47,1,46.13,Returning
2024-08-29,14,Afternoon,Online,Deluxe,63.7,3,477.7,Returning
2025-01-25,20,Evening,Walk-in,Deluxe,52.99,3,296.39,New
2024-08-07,19,Evening,Online,Basic,7.44,3,49.5,Returning
2025-01-15,17,Evening,Online,Premium,29.43,3,200.94,Returning
2024-05-04,13,Afternoon,Phone,Deluxe,80.95,3,494.3,New
2024-09-20,17,Evening,Phone,Premium,80.75,2,272.88,Returning
2025-02-22,20,Evening,Walk-in,Basic,33,4,255.73,New
2024-07-29,19,Evening,Online,Deluxe,71.22,3,518.41,New
2025-03-28,19,Evening,Online,Deluxe,49.05,4,333.25,Returning
2024-09-05,14,Afternoon,Walk-in,Premium,52.88,4,497.68,Returning
2025-02-18,9,Morning,Online,Deluxe,60.05,3,164.46,New
2024-09-25,16,Afternoon,Phone,Premium,53.51,3,226.52,New
2024-08-03,18,Evening,Walk-in,Deluxe,86.77,3,366.26,New
2025-04-16,10,Morning,Online,Premium,91.77,3,363.89,Returning
2025-03-08,10,Morning,Online,Premium,60.98,2,230.37,Returning
2024-09-30,11,Morning,Social Media,Premium,95.45,2,197.44,Returning
2025-02-23,18,Evening,Walk-in,Deluxe,61.77,4,255.29,New
2024-12-08,8,Morning,Online,Basic,46.54,3,187.69,New
2024-12-12,14,Afternoon,Social Media,Basic,57.23,3,427.81,New
2024-05-22,8,Morning,Walk-in,Basic,87.46,1,192.82,Returning
2025-04-18,18,Evening,Phone,Basic,10.82,4,84.1,Returning
2024-12-31,9,Morning,Online,Deluxe,9.06,2,21.45,New
2024-09-17,17,Evening,Online,Deluxe,8.96,5,46.81,New
2024-11-12,12,Afternoon,Online,Basic,58.26,3,382.55,New
2025-04-07,18,Evening,Online,Deluxe,16.46,5,81.8,Returning
2025-01-23,14,Afternoon,Online,Deluxe,56.51,1,138.84,Returning
2024-06-23,13,Afternoon,Online,Basic,27.5,3,104.92,New
2025-01-21,8,Morning,Phone,Basic,42.79,2,72.75,New
2025-02-22,8,Morning,Online,Premium,12.2,2,32.37,New
2024-11-30,17,Evening,Social Media,Deluxe,39.92,2,190.29,Returning
2024-10-07,18,Evening,Social Media,Premium,6.12,4,44.64,New
2024-10-23,16,Afternoon,Walk-in,Premium,42.56,3,197.06,Returning
2024-07-17,18,Evening,Phone,Premium,11.98,8,135.55,New
2024-12-30,21,Night,Online,Deluxe,14.69,4,66.07,New
2024-12-24,20,Evening,Online,Deluxe,83.19,1,178.62,New
2024-06-06,9,Morning,Social Media,Deluxe,88.87,3,387.13,New
2025-02-06,16,Afternoon,Walk-in,Deluxe,44.34,5,233.9,Returning
2024-06-18,19,Evening,Social Media,Deluxe,56.51,5,306.49,New
2024-05-25,12,Afternoon,Online,Basic,52.29,3,135.6,New
2025-04-14,15,Afternoon,Online,Basic,85.8,1,83.77,New
2024-06-08,20,Evening,Walk-in,Premium,49.31,3,298.14,New
2024-09-08,8,Morning,Phone,Premium,54.31,0,0,New
2024-07-25,17,Evening,Online,Deluxe,5.49,6,27.15,New
2024-09-19,8,Morning,Online,Premium,32.13,1,70.38,New
2024-07-14,20,Evening,Online,Basic,15.02,2,28.39,New
2024-12-06,13,Afternoon,Online,Basic,40.04,4,308.1,Returning
2024-09-08,17,Evening,Online,Basic,71.88,3,235.98,Returning
2024-06-20,10,Morning,Walk-in,Basic,93.12,1,122.52,New
2025-01-07,13,Afternoon,Online,Basic,41.17,3,259.59,New
2024-07-21,12,Afternoon,Walk-in,Premium,60.72,4,567.04,New
2024-05-17,12,Afternoon,Online,Deluxe,96.56,7,686,Returning
2024-10-02,18,Evening,Online,Basic,69.59,2,336.25,Returning
2024-09-01,8,Morning,Walk-in,Deluxe,65.9,2,249.87,Returning
2024-06-09,20,Evening,Phone,Premium,8.06,2,32.16,New
2024-11-02,8,Morning,Social Media,Premium,71.13,1,127.8,New
2024-12-26,17,Evening,Online,Premium,34.69,4,192.68,New
2025-04-23,10,Morning,Walk-in,Basic,26.02,2,90,Returning
2025-03-05,14,Afternoon,Phone,Basic,93.66,3,656.81,Returning
2024-07-12,18,Evening,Social Media,Basic,63.21,2,285.81,Returning
2025-04-02,21,Night,Walk-in,Deluxe,68.01,6,735.64,New
2024-10-28,18,Evening,Online,Deluxe,73.77,3,474.68,New
2024-06-20,18,Evening,Online,Premium,6.95,1,16.14,New
2024-05-10,21,Night,Online,Basic,79.72,2,263.13,New
2024-12-31,8,Morning,Walk-in,Basic,38.7,2,149.75,New
2025-02-28,8,Morning,Walk-in,Premium,55.66,5,585.8,Returning
2024-12-06,14,Afternoon,Walk-in,Basic,38.55,5,289.92,Returning
2024-12-04,13,Afternoon,Online,Basic,92,5,891.99,New
2025-02-08,20,Evening,Online,Basic,27.62,2,120.02,Returning
2025-04-08,18,Evening,Phone,Premium,56.89,3,332.42,New
2024-09-23,19,Evening,Walk-in,Basic,7.44,2,20.46,New
2024-07-29,9,Morning,Online,Premium,58.14,2,102.66,New
2025-04-18,11,Morning,Phone,Deluxe,86.64,3,304.79,New
2024-12-27,9,Morning,Walk-in,Deluxe,98.73,3,636.51,New
2025-03-14,8,Morning,Walk-in,Deluxe,68.84,2,137.32,Returning
2025-02-15,9,Morning,Phone,Basic,21.65,2,36.94,Returning
2024-05-12,20,Evening,Phone,Basic,41.52,1,103.19,New
2024-10-01,8,Morning,Walk-in,Deluxe,90.18,2,181.12,New
2025-04-20,12,Afternoon,Phone,Deluxe,93.57,5,1054.82,Returning
2024-05-15,16,Afternoon,Walk-in,Premium,79.43,2,350.15,Returning
2024-06-10,14,Afternoon,Walk-in,Premium,79.37,1,177.25,New
2024-08-19,15,Afternoon,Social Media,Basic,95.9,5,858.04,New
2024-06-27,14,Afternoon,Online,Basic,90.93,6,606.11,New
2024-10-27,8,Morning,Walk-in,Premium,79.01,4,623.79,New
2024-11-25,17,Evening,Walk-in,Basic,47.73,3,298.16,Returning
2024-11-21,18,Evening,Phone,Deluxe,21.18,4,133.87,Returning
2024-12-09,13,Afternoon,Walk-in,Premium,33.29,1,53.85,New
2025-01-21,11,Morning,Online,Deluxe,91.61,2,355.32,New
2025-03-21,19,Evening,Walk-in,Premium,56.94,2,279.1,New
2025-04-09,9,Morning,Phone,Basic,15.03,1,29.13,Returning
2024-09-20,15,Afternoon,Online,Basic,50.52,4,301.9,New
2024-06-15,18,Evening,Social Media,Basic,15.52,1,32.82,Returning
2024-07-28,19,Evening,Walk-in,Deluxe,48.02,3,205.66,Returning
2024-08-28,12,Afternoon,Phone,Basic,57.97,7,690.82,Returning
2024-10-04,17,Evening,Online,Premium,5.36,4,48.56,New
2025-01-27,9,Morning,Phone,Premium,66.79,5,313.51,Returning
2025-02-10,14,Afternoon,Walk-in,Basic,99.54,2,420.99,Returning
2025-03-31,21,Night,Online,Deluxe,78.23,3,236.23,New
2025-04-27,21,Night,Walk-in,Deluxe,74.96,2,320.3,New
2024-09-27,13,Afternoon,Online,Deluxe,44.69,2,80.63,New
2025-01-09,18,Evening,Phone,Basic,38.27,3,283.53,New
2024-06-18,10,Morning,Phone,Deluxe,80.01,1,119.01,Returning
2024-12-29,13,Afternoon,Online,Deluxe,57.59,2,214.59,New
